time,latitude,longitude,depth,magnitude,place
2024-01-26 16:00:30.942,41.2054,78.6426,6.274,4.5,"128 km WNW of Aykol, China"
2024-01-26 12:05:36.743,41.2621,78.9039,10.0,4.4,"108 km WNW of Aykol, China"
2024-01-26 11:40:45.119,41.2585,78.8037,10.0,4.6,"116 km WNW of Aykol, China"
2024-01-26 10:36:46.192,41.1536,78.7309,,4.5,"120 km W of Aykol, China"
2024-01-26 10:16:48.517,41.3228,78.777,10.0,4.4,"121 km WNW of Aykol, China"
2024-01-26 08:18:00.667,41.267,78.5902,10.0,4.2,"128 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-26 02:26:06.454,41.3275,78.8006,10.0,4.1,"119 km WNW of Aykol, China"
2024-01-26 01:55:13.585,41.2564,78.6383,1.358,4.7,"130 km WNW of Aykol, China"
2024-01-26 01:14:33.971,41.2667,78.6613,,4.4,"128 km WNW of Aykol, China"
2024-01-26 00:17:32.354,41.2744,78.739,8.814,4.4,"122 km WNW of Aykol, China"
2024-01-25 22:38:10.386,41.1999,78.5959,10.0,4.7,"132 km W of Aykol, China"
2024-01-25 21:12:33.064,41.1887,78.6544,10.459,4.1,"127 km W of Aykol, China"
2024-01-25 21:11:07.624,41.2271,78.6302,10.0,4.0,"129 km WNW of Aykol, China"
2024-01-25 20:01:27.370,41.2627,78.8624,,5.3,"112 km WNW of Aykol, China"
2024-01-25 08:59:58.632,41.2379,78.8559,1.894,4.2,"111 km WNW of Aykol, China"
2024-01-25 08:42:49.360,41.206,78.6071,6.874,4.1,"131 km WNW of Aykol, China"
2024-01-25 08:14:47.579,41.3977,78.9336,7.096,4.1,"112 km WNW of Aykol, China"
2024-01-25 05:00:25.079,41.104,78.5794,10.0,4.3,"131 km W of Aykol, China"
2024-01-25 04:59:22.956,41.3326,78.7653,10.0,,"122 km WNW of Aykol, China"
2024-01-25 01:43:50.877,41.2756,78.6744,,4.5,"127 km WNW of Aykol, China"
2024-01-25 01:24:34.948,41.2167,78.5806,10.0,,"133 km WNW of Aykol, China"
2024-01-25 01:13:37.442,41.232,78.703,,4.1,"124 km WNW of Aykol, China"
2024-01-24 22:21:48.970,41.1193,78.6392,7.536,5.1,"127 km W of Aykol, China"
2024-01-24 21:50:10.909,41.172,78.627,10.0,4.1,"129 km W of Aykol, China"
2024-01-24 20:35:07.946,41.3481,78.815,1.742,4.2,"119 km WNW of Aykol, China"
2024-01-24 20:05:03.359,41.1299,78.5428,10.0,4.4,"135 km W of Aykol, China"
2024-01-24 19:59:55.646,41.1597,78.5965,10.0,4.1,"131 km W of Aykol, China"
2024-01-24 19:33:23.223,41.2785,78.6618,,4.2,"128 km WNW of Aykol, China"
2024-01-24 18:45:17.259,41.3989,78.885,10.0,4.4,"115 km WNW of Aykol, China"
2024-01-24 17:49:08.745,41.2563,78.6516,10.0,,"129 km WNW of Aykol, China"
2024-01-24 16:20:14.615,41.2721,78.6928,,4.0,"126 km WNW of Aykol, China"
2024-01-24 15:04:17.552,41.2214,78.5797,5.099,4.4,"133 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-24 15:01:21.739,41.2775,78.6302,10.615,4.5,"129 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-24 09:43:22.877,41.1999,78.5466,8.837,4.1,"134 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-24 04:58:28.049,41.268,78.7106,,4.3,"124 km WNW of Aykol, China"
2024-01-24 03:56:26.090,41.2356,78.6263,,4.0,"130 km WNW of Aykol, China"
2024-01-24 02:54:04.639,41.2124,78.6336,10.0,4.4,"129 km WNW of Aykol, China"
2024-01-24 02:39:02.309,41.5961,75.6471,,4.3,"34 km WNW of Naryn, Kyrgyzstan"
2024-01-24 02:16:33.257,41.2632,78.698,10.0,4.2,"125 km WNW of Aykol, China"
2024-01-24 01:59:13.733,41.4516,78.8765,,4.0,"119 km WNW of Aykol, China"
2024-01-24 01:35:19.069,41.4293,78.829,10.0,4.4,"121 km SSE of Ak-Suu, Kyrgyzstan"
2024-01-24 00:15:30.297,41.2112,78.7128,10.0,4.2,"122 km WNW of Aykol, China"
2024-01-23 23:54:39.404,41.3413,78.663,5.0,4.3,"123 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 23:50:06.334,41.271,78.5626,,4.5,"127 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 23:27:45.762,41.3512,78.8873,10.0,4.1,"113 km WNW of Aykol, China"
2024-01-23 22:23:26.812,41.2966,78.805,10.0,4.4,"117 km WNW of Aykol, China"
2024-01-23 21:50:42.484,41.4391,78.7924,1.147,4.4,"119 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 20:38:13.026,41.1299,78.5932,10.0,5.2,"131 km W of Aykol, China"
2024-01-23 19:40:15.731,41.223,78.4362,10.0,4.1,"129 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 19:20:18.563,41.398,78.8923,10.0,4.1,"115 km WNW of Aykol, China"
2024-01-23 19:11:41.410,41.3288,78.7314,10.0,4.5,"124 km WNW of Aykol, China"
2024-01-23 17:25:44.419,41.242,78.6499,10.0,4.1,"128 km WNW of Aykol, China"
2024-01-23 14:08:54.064,41.2928,78.6887,5.059,4.3,"127 km WNW of Aykol, China"
2024-01-23 13:47:18.515,41.379,78.7015,,4.5,"121 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 13:36:22.680,41.221,78.6582,4.395,,"127 km WNW of Aykol, China"
2024-01-23 12:09:29.168,41.2492,78.8369,10.0,,"113 km WNW of Aykol, China"
2024-01-23 11:31:34.991,41.1859,78.6578,,4.4,"126 km W of Aykol, China"
2024-01-23 11:07:05.807,41.3226,78.7753,10.0,4.3,"121 km WNW of Aykol, China"
2024-01-23 10:05:57.912,41.2419,78.6698,10.0,4.3,"127 km WNW of Aykol, China"
2024-01-23 09:47:20.843,41.2567,78.6735,10.0,4.4,"127 km WNW of Aykol, China"
